Ubigeo,Departamento,Provincia,Distrito,Poblacion,Superficie,hogares_saneamiento_pct,poblacion_pobreza_PCT,viviendas_con_servicio_de_luz,,,
101001,Huanuco,Lauricocha,JESUS,5712,"449,9",88.49,"40,80",,,,
100601,Huanuco,Leoncio Prado,RUPA-RUPA,51713,"266,52",92.08,"31,70",,,,
100610,Huanuco,Leoncio Prado,SANTO DOMINGO DE ANDA,3767,"283,54",87.05,"66,10",,,,
100702,Huanuco,Marañon,CHOLON,10428,"2125,19",86.46,"63,70",,,,
100701,Huanuco,Marañon,HUACRACHUCO,15942,"704,63",73.29,"39,40",,,,
100904,Huanuco,Puerto Inca,TOURNAVISTA,4559,"2228,46",67.22,"53,70",,,,
100905,Huanuco,Puerto Inca,YUYAPICHIS,6616,"1845,62",91.56,"51,70",,,,
101104,Huanuco,Yarowilca,APARICIO POMARES,5488,"183,14",76.44,"49,50",,,,
101102,Huanuco,Yarowilca,CAHUAC,4687,"29,5",87.67,"36,30",,,,
110210,Ica,Chincha,SUNAMPE,28435,"16,76",79.56,"23,70",,,,
110211,Ica,Chincha,TAMBO DE MORA,5110,22,91.69,"24,00",,,,
110101,Ica,Ica,ICA,134249,"887,51",94.70,"17,10",,,,
110114,Ica,Ica,YAUCA DEL ROSARIO,972,"1289,1",89.39,"52,60",,,,
110302,Ica,Nazca,CHANGUILLO,1457,"946,94",80.61,"37,20",,,,
110303,Ica,Nazca,EL INGENIO,2697,"552,39",94.32,"33,80",,,,
110507,Ica,Pisco,SAN CLEMENTE,22548,"127,22",65.28,"25,40",,,,
110508,Ica,Pisco,TUPAC AMARU INCA,18366,"55,48",79.53,"30,00",,,,
120301,Junin,Chanchamayo,CHANCHAMAYO,24866,"919,72",92.07,"31,70",,,,
120302,Junin,Chanchamayo,PERENE,77635,"1191,16",91.12,"47,40",,,,
120908,Junin,Chupaca,TRES DE DICIEMBRE,2111,"14,66",92.03,"38,30",,,,
120909,Junin,Chupaca,YANACANCHA,3547,"743,4",82.36,"23,20",,,,
120202,Junin,Concepcion,ACO,1592,"37,8",90.74,"27,30",,,,
120203,Junin,Concepcion,ANDAMARCA,4536,"694,9",59.46,"49,80",,,,
120204,Junin,Concepcion,CHAMBARA,2882,"113,21",72.82,"15,90",,,,
120205,Junin,Concepcion,COCHAS,1757,"165,05",84.88,"41,40",,,,
120206,Junin,Concepcion,COMAS,6073,"825,29",93.46,"40,00",,,,
120201,Junin,Concepcion,CONCEPCION,15010,"18,29",73.62,"17,70",,,,
120207,Junin,Concepcion,HEROINAS TOLEDO,1193,"25,83",83.79,"11,70",,,,
120208,Junin,Concepcion,MANZANARES,1391,"20,58",80.35,"13,70",,,,
120209,Junin,Concepcion,MARISCAL CASTILLA,1652,"743,84",69.40,"33,90",,,,
120210,Junin,Concepcion,MATAHUASI,5171,"24,74",92.23,"16,30",,,,
120211,Junin,Concepcion,MITO,1369,"25,21",59.06,"21,50",,,,
120212,Junin,Concepcion,NUEVE DE JULIO,1485,"7,28",72.88,"20,80",,,,
120213,Junin,Concepcion,ORCOTUNA,4168,"44,61",65.50,"19,50",,,,
120214,Junin,Concepcion,SAN JOSE DE QUERO,6106,"314,8",87.37,"12,00",,,,
120215,Junin,Concepcion,SANTA ROSA DE OCOPA,2030,"13,91",81.08,"15,00",,,,
120104,Junin,Huancayo,CARHUACALLANGA,1398,"13,78",79.37,"15,80",,,,
